i /V0/MINUS; dc (I) X,i /V0/MINUS; dc (I) Y,i /V1/MINUS; dc (I) X,i /V1/MINUS; dc (I) Y,i /V5/MINUS; dc (I) X,i /V5/MINUS; dc (I) Y,i /V6/MINUS; dc (I) X,i /V6/MINUS; dc (I) Y
77.79999999999997,1.465945248021288e-09,77.79999999999997,2.882210440372882e-07,77.79999999999997,4.389227765105712e-11,77.79999999999997,1.266430684212875e-08
81.59999999999997,1.777450554883401e-09,81.59999999999997,3.272608182691183e-07,81.59999999999997,4.667832478850587e-11,81.59999999999997,1.449760929179669e-08
85.39999999999996,2.166490978735091e-09,85.39999999999996,3.710411541284895e-07,85.39999999999996,5.006237316374849e-11,85.39999999999996,1.65599598756038e-08
89.19999999999996,2.652002221120703e-09,89.19999999999996,4.200176962529517e-07,89.19999999999996,5.384627601557696e-11,89.19999999999996,1.887397215982971e-08
92.99999999999996,3.257738233125518e-09,92.99999999999996,4.746764006110791e-07,92.99999999999996,5.827022851288592e-11,92.99999999999996,2.146383187391506e-08
96.79999999999995,4.013598519860516e-09,96.79999999999995,5.355343514201632e-07,96.79999999999995,6.39579014429199e-11,96.79999999999995,2.435534946433505e-08
100.6,4.957345955945478e-09,100.6,6.031405167491453e-07,100.6,7.128328248830775e-11,100.6,2.757601097328787e-08
104.3999999999999,6.136803624400122e-09,104.3999999999999,6.780764413278151e-07,104.3999999999999,8.069551515818898e-11,104.3999999999999,3.115502722866016e-08
108.1999999999999,7.612563976881212e-09,108.1999999999999,7.609568757058533e-07,108.1999999999999,9.275184213052513e-11,108.1999999999999,3.512338140690399e-08
111.9999999999999,9.461976000747399e-09,111.9999999999999,8.524303423476557e-07,111.9999999999999,1.081444911087163e-10,111.9999999999999,3.951387511969865e-08
115.7999999999999,1.178353352557354e-08,115.7999999999999,9.531796408589613e-07,115.7999999999999,1.277314362488081e-10,115.7999999999999,4.436117329109647e-08
119.5999999999999,1.47029297561567e-08,119.5999999999999,1.063922298505882e-06,119.5999999999999,1.525728671465592e-10,119.5999999999999,4.970184822795962e-08
123.3999999999999,1.838066356729918e-08,123.3999999999999,1.18541097246745e-06,123.3999999999999,1.839746242558768e-10,123.3999999999999,5.557442345627706e-08
127.1999999999999,2.302169227157006e-08,127.1999999999999,1.318433816128252e-06,127.1999999999999,2.235398463097978e-10,127.1999999999999,6.201941810034293e-08
130.9999999999999,2.888763594785538e-08,130.9999999999999,1.463814822169296e-06,130.9999999999999,2.732302112982967e-10,130.9999999999999,6.907939282586587e-08
134.8,3.631215236362765e-08,134.8,1.622414148499733e-06,134.8,3.354383208691863e-10,134.8,7.679899866814825e-08
138.6,4.572022895607791e-08,138.6,1.795128463426989e-06,138.6,4.130729745024231e-10,138.6,8.522503042167873e-08
142.4,5.765229943266378e-08,142.4,1.982891443779289e-06,142.4,5.096592985588527e-10,142.4,9.440648669378785e-08
146.2,7.279427127890524e-08,146.2,2.186674186446482e-06,146.2,6.29455935653902e-10,146.2,1.043946392336331e-07
150,9.201476756835311e-08,150,2.407485859242503e-06,150,7.77591762083047e-10,150,1.152431147535909e-07
