i /V0/MINUS; dc (I) X,i /V0/MINUS; dc (I) Y,i /V1/MINUS; dc (I) X,i /V1/MINUS; dc (I) Y,i /V5/MINUS; dc (I) X,i /V5/MINUS; dc (I) Y,i /V6/MINUS; dc (I) X,i /V6/MINUS; dc (I) Y
32.2,3.376522040587842e-05,32.2,0.0003038307396305596,32.2,3.453518099227185e-11,32.2,2.172878112955628e-09
36,3.378804884439485e-05,36,0.0003036500424379106,36,3.458746820524715e-11,36,2.524362378699392e-09
39.8,3.380995108495586e-05,39.8,0.0003034673024354416,39.8,3.466030249651393e-11,39.8,2.93492170725039e-09
43.59999999999999,3.383096042488753e-05,43.59999999999999,0.0003032825433738803,43.59999999999999,3.47611483615068e-11,43.59999999999999,3.412722424436195e-09
47.39999999999999,3.385111090966437e-05,47.39999999999999,0.0003030958108290357,47.39999999999999,3.489996770162288e-11,47.39999999999999,3.966787611184807e-09
51.19999999999999,3.387043780484216e-05,51.19999999999999,0.0003029071689791145,51.19999999999999,3.508998764827585e-11,51.19999999999999,4.607054106280243e-09
54.99999999999999,3.388962963098448e-05,54.99999999999999,0.0003027201143775563,54.99999999999999,3.534867445057878e-11,54.99999999999999,5.344430177076162e-09
58.79999999999998,3.390676949982225e-05,58.79999999999998,0.0003025245484493976,58.79999999999998,3.569904214436512e-11,58.79999999999998,6.190853606608527e-09
62.59999999999998,3.392385391627205e-05,62.59999999999998,0.0003023308348110029,62.59999999999998,3.617114574389992e-11,62.59999999999998,7.15934998890283e-09
66.39999999999998,3.39402673828892e-05,66.39999999999998,0.0003021357241413057,66.39999999999998,3.680420693546052e-11,66.39999999999998,8.26409092279958e-09
70.19999999999997,3.395606138764574e-05,70.19999999999997,0.0003019394479513034,70.19999999999997,3.764911205075198e-11,70.19999999999997,9.520451918905385e-09
73.99999999999997,3.397128089951154e-05,73.99999999999997,0.0003017422390166254,73.99999999999997,3.877162329125353e-11,73.99999999999997,1.094506973661915e-08
77.79999999999997,3.398597671208555e-05,77.79999999999997,0.0003015443771258943,77.79999999999997,4.025638247672223e-11,77.79999999999997,1.255589892893998e-08
81.59999999999997,3.400020352068417e-05,81.59999999999997,0.0003013461828365583,81.59999999999997,4.221189828538092e-11,81.59999999999997,1.43722673661164e-08
85.39999999999996,3.401402064565534e-05,85.39999999999996,0.0003011480213140817,85.39999999999996,4.477673418248426e-11,85.39999999999996,1.641493053210245e-08
89.19999999999996,3.402749293227629e-05,89.19999999999996,0.0003009503063154699,89.19999999999996,4.812715585626728e-11,89.19999999999996,1.87061244078989e-08
92.99999999999996,3.404069186678812e-05,92.99999999999996,0.0003007535046681904,92.99999999999996,5.248654549543606e-11,92.99999999999996,2.126961678869231e-08
96.79999999999995,3.405417014560372e-05,96.79999999999995,0.0003005606237906885,96.79999999999995,5.813693831676568e-11,96.79999999999995,2.413075691863119e-08
100.6,3.40670582019598e-05,100.6,0.0003003672214914921,100.6,6.543315592361048e-11,100.6,2.731652337744025e-08
104.3999999999999,3.407994400915901e-05,104.3999999999999,0.0003001765077403087,104.3999999999999,7.481991916948634e-11,104.3999999999999,3.085557021300416e-08
108.1999999999999,3.409250919942676e-05,108.1999999999999,0.0002999869365997067,108.1999999999999,8.685269057626277e-11,108.1999999999999,3.477827139007725e-08
111.9999999999999,3.410576812380047e-05,111.9999999999999,0.0002998039417748349,111.9999999999999,1.02222762594238e-10,111.9999999999999,3.911676371683727e-08
115.7999999999999,3.411943645433965e-05,115.7999999999999,0.0002996261147443661,115.7999999999999,1.217875353072113e-10,115.7999999999999,4.390498853034599e-08
119.5999999999999,3.413370195616575e-05,119.5999999999999,0.0002994544687126815,119.5999999999999,1.466067355263804e-10,119.5999999999999,4.91787325490312e-08
123.3999999999999,3.41487902990406e-05,123.3999999999999,0.0002992901385998564,123.3999999999999,1.77985727354778e-10,123.3999999999999,5.497566848089631e-08
127.1999999999999,3.416497495928498e-05,127.1999999999999,0.0002991343894730013,127.1999999999999,2.175270606151969e-10,127.1999999999999,6.133539617332672e-08
130.9999999999999,3.41825893347531e-05,130.9999999999999,0.0002989886289785762,130.9999999999999,2.671916192600173e-10,130.9999999999999,6.829948533826329e-08
134.8,3.420204267557771e-05,134.8,0.0002988544230731491,134.8,3.293709062408482e-10,134.8,7.591152118417353e-08
138.6,3.42238400274601e-05,138.6,0.000298733513006492,138.6,4.069721981233064e-10,138.6,8.421715464045517e-08
142.4,3.424860704431315e-05,142.4,0.0002986278338083165,142.4,5.035185138742082e-10,142.4,9.32641592871292e-08
146.2,3.427712062209461e-05,146.2,0.0002985395338976266,146.2,6.23265565116423e-10,146.2,1.031024976090764e-07
150,3.431034658600298e-05,150,0.0002984709957169891,150,7.713380868469599e-10,150,1.137843997968449e-07
